股票代码: 600193{'流通市值': '14.08亿', '总市值': '14.08亿', '流通股本': '4.25亿', '总股本': '4.25亿'}
股票代码: 600195{'流通市值': '100.67亿', '总市值': '100.67亿', '流通股本': '8.42亿', '总股本': '8.42亿'}
股票代码: 600196{'流通市值': '548.19亿', '总市值': '698.65亿', '流通股本': '20.11亿', '总股本': '25.63亿'}
股票代码: 600197{'流通市值': '60.89亿', '总市值': '60.89亿', '流通股本': '4.34亿', '总股本': '4.34亿'}
股票代码: 600198{'流通市值': '78.80亿', '总市值': '78.95亿', '流通股本': '8.80亿', '总股本': '8.82亿'}
股票代码: 600199{'流通市值': '29.79亿', '总市值': '35.26亿', '流通股本': '5.56亿', '总股本': '6.58亿'}
股票代码: 600200{'流通市值': '80.74亿', '总市值': '80.93亿', '流通股本': '7.11亿', '总股本': '7.12亿'}
股票代码: 600201{'流通市值': '248.34亿', '总市值': '248.34亿', '流通股本': '11.26亿', '总股本': '11.26亿'}
股票代码: 600202{'流通市值': '16.68亿', '总市值': '16.68亿', '流通股本': '3.83亿', '总股本': '3.83亿'}
股票代码: 600203{'流通市值': '28.35亿', '总市值': '28.35亿', '流通股本': '4.56亿', '总股本': '4.56亿'}
股票代码: 600205{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600206{'流通市值': '115.92亿', '总市值': '117.01亿', '流通股本': '8.39亿', '总股本': '8.47亿'}
股票代码: 600207{'流通市值': '38.66亿', '总市值': '38.66亿', '流通股本': '8.63亿', '总股本': '8.63亿'}
股票代码: 600208{'流通市值': '289.76亿', '总市值': '289.80亿', '流通股本': '85.98亿', '总股本': '85.99亿'}
股票代码: 600209{'流通市值': '12.56亿', '总市值': '12.56亿', '流通股本': '4.39亿', '总股本': '4.39亿'}
股票代码: 600210{'流通市值': '53.39亿', '总市值': '53.39亿', '流通股本': '15.17亿', '总股本': '15.17亿'}
股票代码: 600211{'流通市值': '50.16亿', '总市值': '62.09亿', '流通股本': '1.43亿', '总股本': '1.77亿'}
股票代码: 600212{'流通市值': '17.86亿', '总市值': '17.86亿', '流通股本': '5.12亿', '总股本': '5.12亿'}
股票代码: 600213{'流通市值': '17.05亿', '总市值': '17.05亿', '流通股本': '2.20亿', '总股本': '2.20亿'}
股票代码: 600215{'流通市值': '47.57亿', '总市值': '47.57亿', '流通股本': '4.65亿', '总股本': '4.65亿'}
股票代码: 600216{'流通市值': '140.43亿', '总市值': '140.43亿', '流通股本': '9.65亿', '总股本': '9.65亿'}
股票代码: 600217{'流通市值': '76.10亿', '总市值': '80.13亿', '流通股本': '13.19亿', '总股本': '13.89亿'}
股票代码: 600218{'流通市值': '37.94亿', '总市值': '37.94亿', '流通股本': '3.69亿', '总股本': '3.69亿'}
股票代码: 600219{'流通市值': '211.41亿', '总市值': '258.13亿', '流通股本': '97.87亿', '总股本': '119.50亿'}
股票代码: 600220{'流通市值': '43.51亿', '总市值': '43.51亿', '流通股本': '17.83亿', '总股本': '17.83亿'}
股票代码: 600221{'流通市值': '251.47亿', '总市值': '257.13亿', '流通股本': '164.36亿', '总股本': '168.06亿'}
股票代码: 600222{'流通市值': '37.13亿', '总市值': '37.36亿', '流通股本': '5.70亿', '总股本': '5.74亿'}
股票代码: 600223{'流通市值': '91.69亿', '总市值': '91.69亿', '流通股本': '10.01亿', '总股本': '10.01亿'}
股票代码: 600225{'流通市值': '21.92亿', '总市值': '21.98亿', '流通股本': '9.33亿', '总股本': '9.35亿'}
股票代码: 600226{'流通市值': '56.80亿', '总市值': '89.45亿', '流通股本': '19.93亿', '总股本': '31.39亿'}
股票代码: 600227{'流通市值': '34.64亿', '总市值': '45.88亿', '流通股本': '12.78亿', '总股本': '16.93亿'}
股票代码: 600228{'流通市值': '13.73亿', '总市值': '13.73亿', '流通股本': '2.41亿', '总股本': '2.41亿'}
股票代码: 600229{'流通市值': '57.22亿', '总市值': '57.22亿', '流通股本': '7.02亿', '总股本': '7.02亿'}
股票代码: 600230{'流通市值': '36.86亿', '总市值': '36.86亿', '流通股本': '4.12亿', '总股本': '4.12亿'}
股票代码: 600231{'流通市值': '68.17亿', '总市值': '68.17亿', '流通股本': '27.71亿', '总股本': '27.71亿'}
股票代码: 600232{'流通市值': '25.20亿', '总市值': '25.20亿', '流通股本': '3.65亿', '总股本': '3.65亿'}
股票代码: 600233{'流通市值': '420.26亿', '总市值': '421.27亿', '流通股本': '28.36亿', '总股本': '28.43亿'}
股票代码: 600234{'流通市值': '18.60亿', '总市值': '18.60亿', '流通股本': '2.02亿', '总股本': '2.02亿'}
股票代码: 600235{'流通市值': '16.27亿', '总市值': '16.27亿', '流通股本': '3.51亿', '总股本': '3.51亿'}
股票代码: 600236{'流通市值': '365.74亿', '总市值': '365.74亿', '流通股本': '78.82亿', '总股本': '78.82亿'}
股票代码: 600237{'流通市值': '18.06亿', '总市值': '18.06亿', '流通股本': '5.64亿', '总股本': '5.64亿'}
股票代码: 600238{'流通市值': '21.27亿', '总市值': '21.42亿', '流通股本': '4.45亿', '总股本': '4.48亿'}
股票代码: 600239{'流通市值': '42.71亿', '总市值': '42.71亿', '流通股本': '16.06亿', '总股本': '16.06亿'}
股票代码: 600240{'流通市值': '5.84亿', '总市值': '5.84亿', '流通股本': '14.24亿', '总股本': '14.24亿'}
股票代码: 600241{'流通市值': '10.44亿', '总市值': '12.21亿', '流通股本': '2.52亿', '总股本': '2.94亿'}
股票代码: 600242{'流通市值': '31.61亿', '总市值': '34.98亿', '流通股本': '4.13亿', '总股本': '4.57亿'}
股票代码: 600243{'流通市值': '15.93亿', '总市值': '15.93亿', '流通股本': '4.39亿', '总股本': '4.39亿'}
股票代码: 600246{'流通市值': '106.81亿', '总市值': '106.81亿', '流通股本': '20.54亿', '总股本': '20.54亿'}
股票代码: 600247{'流通市值': '11.98亿', '总市值': '11.98亿', '流通股本': '3.36亿', '总股本': '3.36亿'}
股票代码: 600248{'流通市值': '25.61亿', '总市值': '35.80亿', '流通股本': '6.57亿', '总股本': '9.18亿'}
股票代码: 600249{'流通市值': '22.50亿', '总市值': '22.50亿', '流通股本': '5.50亿', '总股本': '5.50亿'}
股票代码: 600250{'流通市值': '13.97亿', '总市值': '16.77亿', '流通股本': '2.59亿', '总股本': '3.11亿'}
股票代码: 600251{'流通市值': '45.21亿', '总市值': '45.21亿', '流通股本': '7.85亿', '总股本': '7.85亿'}
股票代码: 600252{'流通市值': '112.94亿', '总市值': '112.94亿', '流通股本': '34.75亿', '总股本': '34.75亿'}
股票代码: 600253{'流通市值': '0.00', '总市值': '0.00', '流通股本': '0.00万手', '总股本': '0.00'}
股票代码: 600255{'流通市值': '22.47亿', '总市值': '22.47亿', '流通股本': '17.70亿', '总股本': '17.70亿'}
股票代码: 600256{'流通市值': '195.87亿', '总市值': '197.01亿', '流通股本': '67.54亿', '总股本': '67.94亿'}
股票代码: 600257{'流通市值': '17.76亿', '总市值': '17.76亿', '流通股本': '4.81亿', '总股本': '4.81亿'}
